"ID","timeslot","pressure","amps"
"W/6459-086",1,572,32
"W/6459-086",2,575,31
"W/6459-086",3,578,31
"W/6459-086",4,577,30
"W/6459-086",5,577,31
"W/6459-086",6,571,31
"W/6459-086",7,573,31
"W/6459-086",8,572,30
"W/6459-086",9,575,30
"W/6459-086",10,577,31
"W/6459-086",11,575,32
"W/6459-086",12,575,32
"W/6459-086",13,576,30
"W/6459-086",14,574,31
"W/6459-086",15,577,31
"W/6459-086",16,573,31
"W/6459-086",17,572,32
"W/6459-086",18,575,32
"W/6459-086",19,570,31
"W/6459-086",20,578,31
"W/6459-086",21,577,31
"W/6459-086",22,574,31
"W/6459-086",23,575,32
"W/6459-086",24,576,32
"W/6459-086",25,577,32
"W/6459-086",26,577,31
"W/6459-086",27,568,31
"W/6459-086",28,576,31
"W/6459-086",29,575,31
"W/6459-086",30,573,30
"W/6459-086",31,576,31
"W/6459-086",32,577,31
"W/6459-086",33,573,31
"W/6459-086",34,576,30
"W/6459-086",35,579,31
"W/6459-086",36,572,31
"W/6459-086",37,578,31
"W/6459-086",38,574,32
"W/6459-086",39,570,31
"W/6459-086",40,570,31
"W/6459-086",41,570,31
"W/6459-086",42,576,31
"W/6459-086",43,575,30
"W/6459-086",44,569,32
"W/6459-086",45,579,31
"W/6459-086",46,578,31
"W/6459-086",47,574,31
"W/6459-086",48,576,31
"W/6459-086",49,573,31
"W/6459-086",50,580,30
"W/6459-086",51,575,31
"W/6459-086",52,577,31
"W/6459-086",53,570,32
"W/6459-086",54,575,31
"W/6459-086",55,573,32
"W/6459-086",56,577,31
"W/6459-086",57,575,30
"W/6459-086",58,579,30
"W/6459-086",59,575,31
"W/6459-086",60,575,32
"W/6459-086",61,573,31
"W/6459-086",62,574,31
"W/6459-086",63,573,32
"W/6459-086",64,576,31
"W/6459-086",65,573,31
"W/6459-086",66,577,30
"W/6459-086",67,575,31
"W/6459-086",68,579,31
"W/6459-086",69,574,31
"W/6459-086",70,579,31
"W/6459-086",71,570,31
"W/6459-086",72,574,30
"W/6459-086",73,577,31
"W/6459-086",74,578,31
"W/6459-086",75,575,32
"W/6459-086",76,579,31
"W/6459-086",77,576,31
"W/6459-086",78,572,32
"W/6459-086",79,573,32
"W/6459-086",80,576,31
"W/6459-086",81,581,31
"W/6459-086",82,576,31
"W/6459-086",83,578,31
"W/6459-086",84,574,31
"W/6459-086",85,572,32
"W/6459-086",86,577,31
"W/6459-086",87,574,31
"W/6459-086",88,578,30
"W/6459-086",89,576,31
"W/6459-086",90,580,30
"W/6459-086",91,576,30
"W/6459-086",92,575,30
"W/6459-086",93,579,31
"W/6459-086",94,580,31
"W/6459-086",95,575,32
"W/6459-086",96,575,31
"W/6459-086",97,577,31
"W/6459-086",98,578,31
"W/6459-086",99,576,31
"W/6459-086",100,573,31
"W/6459-086",101,574,31
"W/6459-086",102,574,31
"W/6459-086",103,576,31
"W/6459-086",104,580,31
"W/6459-086",105,578,31
"W/6459-086",106,575,31
"W/6459-086",107,578,31
"W/6459-086",108,579,30
"W/6459-086",109,575,31
"W/6459-086",110,574,31
"W/6459-086",111,576,32
"W/6459-086",112,578,32
"W/6459-086",113,570,31
"W/6459-086",114,575,31
"W/6459-086",115,573,32
"W/6459-086",116,577,31
"W/6459-086",117,577,32
"W/6459-086",118,574,31
"W/6459-086",119,574,30
"W/6459-086",120,576,31
"W/6459-086",121,573,31
"W/6459-086",122,574,31
"W/6459-086",123,575,30
"W/6459-086",124,578,31
"W/6459-086",125,576,30
"W/6459-086",126,577,31
"W/6459-086",127,576,30
"W/6459-086",128,577,31
"W/6459-086",129,574,32
"W/6459-086",130,572,32
"W/6459-086",131,575,31
"W/6459-086",132,576,30
"W/6459-086",133,575,31
"W/6459-086",134,572,30
"W/6459-086",135,577,31
"W/6459-086",136,573,30
"W/6459-086",137,575,31
"W/6459-086",138,577,31
"W/6459-086",139,574,31
"W/6459-086",140,574,32
"W/6459-086",141,575,31
"W/6459-086",142,577,30
"W/6459-086",143,570,31
"W/6459-086",144,575,31
"W/6459-086",145,571,31
"W/6459-086",146,574,31
"W/6459-086",147,576,30
"W/6459-086",148,578,32
"W/6459-086",149,580,31
"W/6459-086",150,576,31
"W/6459-086",151,576,32
"W/6459-086",152,575,31
"W/6459-086",153,574,31
"W/6459-086",154,576,31
"W/6459-086",155,573,32
"W/6459-086",156,573,30
"W/6459-086",157,575,31
"W/6459-086",158,573,32
"W/6459-086",159,580,31
"W/6459-086",160,569,30
"W/6459-086",161,577,31
"W/6459-086",162,573,30
"W/6459-086",163,575,31
"W/6459-086",164,579,31
"W/6459-086",165,578,30
"W/6459-086",166,575,31
"W/6459-086",167,573,31
"W/6459-086",168,574,30
"W/6459-086",169,575,30
"W/6459-086",170,574,31
"W/6459-086",171,579,30
"W/6459-086",172,578,31
"W/6459-086",173,575,32
"W/6459-086",174,574,31
"W/6459-086",175,575,30
"W/6459-086",176,578,31
"W/6459-086",177,573,31
"W/6459-086",178,576,31
"W/6459-086",179,575,32
"W/6459-086",180,576,31
"W/6459-086",181,579,31
"W/6459-086",182,577,31
"W/6459-086",183,569,30
"W/6459-086",184,574,31
"W/6459-086",185,577,31
"W/6459-086",186,578,31
"W/6459-086",187,577,31
"W/6459-086",188,579,31
"W/6459-086",189,578,31
"W/6459-086",190,579,32
"W/6459-086",191,577,30
"W/6459-086",192,575,31
"W/6459-086",193,577,32
"W/6459-086",194,572,32
"W/6459-086",195,575,31
"W/6459-086",196,577,31
"W/6459-086",197,575,32
"W/6459-086",198,573,31
"W/6459-086",199,575,32
"W/6459-086",200,579,31
"W/6459-086",201,571,31
"W/6459-086",202,575,31
"W/6459-086",203,578,31
"W/6459-086",204,574,31
"W/6459-086",205,575,31
"W/6459-086",206,575,31
"W/6459-086",207,573,30
"W/6459-086",208,579,31
"W/6459-086",209,575,31
"W/6459-086",210,574,31
"W/6459-086",211,575,30
"W/6459-086",212,577,30
"W/6459-086",213,574,30
"W/6459-086",214,574,31
"W/6459-086",215,574,32
"W/6459-086",216,568,32
"W/6459-086",217,575,31
"W/6459-086",218,575,31
"W/6459-086",219,576,31
"W/6459-086",220,577,31
"W/6459-086",221,576,31
"W/6459-086",222,574,31
"W/6459-086",223,575,31
"W/6459-086",224,576,31
"W/6459-086",225,570,30
"W/6459-086",226,577,30
"W/6459-086",227,573,32
"W/6459-086",228,576,31
"W/6459-086",229,573,32
"W/6459-086",230,575,31
"W/6459-086",231,576,32
"W/6459-086",232,573,31
"W/6459-086",233,578,30
